Source,Target,Weight
ED,TUP,17
TUP,IGU,1
IGU,CBE,1
MAJN,SL,3
SL,UD,3
KUDA,BYNR,3
BYNR,BTJL,2
BTJL,KT,1
KT,KAWR,2
MAO,KKW,1
RN,PNVL,1
TNA,CSMT,1
KOP,MRJ,1
ET,BPL,7
BPL,BINA,5
BINA,JHS,4
GWL,AGC,9
MTJ,NZM,5
HBJ,HBD,1
HBD,ET,2
ET,HD,3
HD,KNW,3
BSL,IGP,2
GR,SDB,2
SDB,WADI,2
YG,SADP,1
SADP,RC,1
GY,TU,2
TU,YA,2
HX,RJP,2
RJP,KOU,2
KOU,RU,2
PER,MS,1
BSB,BOY,4
BOY,JNH,3
JNH,ALD,3
ALD,STA,3
JBP,ET,3
ET,BSL,2
JL,MMR,1
BSB,ACOI,1
DGR,ASN,2
ASN,DHN,5
DHN,GMO,2
GMO,PNME,1
PNME,KQR,3
KQR,GAYA,5
GAYA,DOS,1
DOS,SSM,7
SSM,BBU,5
BBU,MGS,5
MGS,CAR,1
CAR,MZP,3
MZP,BDL,4
BDL,ACOI,2
CKTD,ATE,1
ATE,BNDA,1
BNDA,MBA,1
KLAR,HPP,1
RKM,TDL,1
TDL,FZD,2
FZD,SKB,2
SKB,ETW,2
ETW,BNT,2
BNT,PHD,2
PHD,JJK,1
JJK,RURA,1
RURA,PNK,1
PNK,CNB,1
CNB,ON,6
ON,LJN,3
SHR,KTE,1
SGO,MAKR,2
MAKR,MNV,1
MNV,ASKN,2
ASKN,GUNA,2
GUNA,RTA,3
RTA,CAG,1
CAG,BAZ,1
BAZ,ATH,1
ATH,KOTA,1
KOTA,SWM,6
SWM,CKB,1
CKB,BNLW,1
BNLW,DPA,2
DPA,JP,2
JP,FL,4
FL,KSG,3
KSG,AII,4
MML,NU,2
ET,NGP,2
NGP,BPQ,7
SKZR,RDM,1
RDM,KZJ,1
KZJ,MJF,1
MJF,KCG,2
KCG,MBNR,4
MBNR,GWD,2
GWD,KRNT,2
KRNT,DHNE,2
DHNE,ATP,2
ATP,DMM,5
DMM,HUP,2
HUP,YPR,2
GWL,SVPI,2
SVPI,KLRS,1
KLRS,BDWS,1
BDWS,GUNA,2
GUNA,ASKN,3
ASKN,MNV,1
MNV,BINA,2
BINA,BAQ,1
BAQ,BHS,1
BHS,BPL,2
LTT,RN,1
RN,MAO,4
MAO,MAJN,1
MAJN,CLT,1
CLT,ERS,1
LKO,HRI,4
HRI,SPN,5
SPN,BE,7
BE,MB,10
MB,SEO,1
SEO,DPR,2
DPR,NGG,3
NGG,NBD,3
NBD,LRJ,4
LRJ,RK,2
RK,SRE,3
SRE,YJUD,3
YJUD,JUDW,3
JUDW,UMB,1
DBRG,MRHT,2
MRHT,SLGR,1
SLGR,MXN,2
MXN,DMV,1
DMV,DPU,3
DPU,LMG,3
LMG,HJI,2
HJI,GHY,1
GHY,NBQ,1
NBQ,KOJ,6
KOJ,NOQ,4
NOQ,NCB,6
NCB,NJP,4
NJP,KNE,6
KNE,KIR,1
KIR,SPJ,1
SPJ,MFP,5
MFP,HJP,4
HJP,CPR,1
CPR,BUI,1
BUI,BSB,1
BSB,LKO,2
LKO,BE,6
MB,NDLS,1
CBE,TUP,8
TUP,ED,9
ED,SA,9
SA,JTJ,9
JTJ,MAS,1
YPR,BAND,5
BAND,HSRA,2
HSRA,DPJ,4
DPJ,SA,4
SA,ED,18
ED,CBE,3
CBE,PGT,15
PGT,TCR,9
TCR,AWY,10
AWY,ERN,10
ERN,KTYM,8
KTYM,CGY,4
CGY,TRVL,6
TRVL,CNGR,10
CNGR,MVLK,3
MVLK,KYJ,6
KYJ,QLN,8
QLN,KCVL,4
NZM,JHS,1
JHS,HBJ,1
HBJ,NGP,1
BPQ,BZA,1
BZA,MAS,5
NZM,FDB,2
FDB,MTJ,3
MTJ,RKM,3
RKM,AGC,3
AGC,DHO,1
DHO,MRA,1
MRA,GWL,1
SC,BPQ,1
BPQ,NGP,5
NGP,HBJ,2
HBJ,JHS,2
JHS,NZM,2
NGP,BSL,2
IGP,CSMT,1
SBC,BNC,5
BNC,KJM,3
KJM,BWT,4
BWT,KPN,5
KPN,JTJ,4
JTJ,KPD,11
KPD,AJJ,4
AJJ,MAS,2
MAS,GDR,5
GDR,NLR,12
NLR,OGL,10
OGL,BZA,8
BZA,WL,5
WL,RDM,3
RDM,SKZR,3
SKZR,BPQ,7
BPQ,CD,6
CD,SEGM,3
SEGM,NGP,5
NGP,PAR,3
PAR,BZU,3
BZU,GDYA,3
GDYA,ET,3
KTE,MYR,3
MYR,STA,2
STA,ACOI,2
ACOI,MZP,2
MZP,MGS,2
MGS,BXR,3
BXR,ARA,3
ARA,DNR,3
BWN,ASN,1
DHN,PNME,3
GAYA,AUBR,3
AUBR,DOS,4
MGS,MZP,2
MZP,ALD,1
ALD,FTP,3
FTP,CNB,4
CNB,ETW,2
ETW,TDL,1
TDL,AF,5
AF,AH,2
AH,BTE,3
BTE,JP,2
JP,NAC,1
NAC,KMNC,1
KMNC,MKN,1
MKN,DNA,1
DNA,MTD,2
MTD,JU,3
CSN,JL,3
BSL,BAU,3
KNW,HD,2
HD,ET,2
PPI,GAR,1
GAR,KY,1
KY,NU,1
NU,SRID,1
SRID,JBP,1
MKP,SRJ,1
SRJ,ACOI,1
ACOI,BDL,2
BDL,MZP,2
MZP,CAR,2
CAR,MGS,1
MGS,BBU,3
BBU,SSM,3
SSM,DOS,5
DOS,AUBR,4
AUBR,GAYA,3
GAYA,KQR,6
KQR,HZD,2
HZD,PNME,3
PNME,GMO,3
GMO,DHN,2
DHN,BRR,1
BRR,ASN,1
DGR,PAN,4
PAN,BWN,2
ANVT,CNB,3
CNB,ALD,6
ALD,MGS,6
MGS,GAYA,4
KQR,DHN,2
DHN,ASN,5
ASN,HWH,1
HWH,ASN,2
ASN,MDP,2
MDP,JSME,7
JSME,JAJ,5
JAJ,KIUL,2
KIUL,MKA,3
MKA,PNC,2
PNC,PNBE,7
PNBE,BXR,3
BXR,DLN,3
DLN,MGS,3
MGS,BSB,10
BSB,SLN,3
SLN,NHH,2
NHH,LKO,2
MB,HW,2
HW,DDN,5
KYN,IGP,2
IGP,NK,2
BAU,KNW,2
