Source,Target,Weight
BWN,DGR,6
DGR,ASN,9
ASN,DHN,2
DHN,GMO,2
GMO,PNME,6
PNME,HZD,1
HZD,KQR,1
MZP,ALD,2
ALD,FTP,3
FTP,CNB,3
CNB,PHD,2
PHD,ETW,1
ETW,SKB,3
SKB,FZD,3
FZD,TDL,3
TDL,HRS,2
HRS,ALJN,2
ALJN,KRJ,3
KRJ,GZB,2
GZB,DLI,5
DLI,SZM,3
SZM,SNP,2
SNP,GNU,1
GNU,SMK,1
SMK,PNP,1
PNP,KUN,3
KUN,KKDE,3
KKDE,UMB,3
CDG,CNDM,1
CNDM,KLK,1
KOAA,ASN,1
ASN,MDP,1
MDP,JSME,8
JSME,JAJ,8
JAJ,KIUL,5
KIUL,MKA,3
MKA,PNC,1
PNC,PNBE,5
BSB,SLN,1
SLN,LKO,1
LKO,BE,1
BE,MB,2
MB,NBD,1
NBD,SRE,1
SRE,UMB,2
LDH,JUC,3
NLDM,ANSB,2
ANSB,RPAR,2
RPAR,SIR,1
SIR,UMB,1
UMB,SRE,1
SRE,MB,1
BE,LKO,1
LKO,BSB,1
MGS,PNBE,1
PNBE,PNC,4
PNC,KIUL,1
KIUL,JAJ,4
JAJ,JSME,7
JSME,ASN,2
ASN,KOAA,1
ANVT,CNB,2
CNB,MGS,3
MGS,DHN,1
BWN,SDAH,1
ASN,CRJ,6
CRJ,MDP,5
MKA,BARH,4
BARH,BKP,4
BKP,FUT,4
FUT,PNC,6
PNBE,DNR,4
DNR,BTA,3
BTA,ARA,3
ARA,BEA,3
BEA,RPR,1
RPR,DURE,2
DURE,BXR,4
BXR,GMR,1
GMR,DLN,1
DLN,ZNA,3
ZNA,MGS,2
MGS,KEI,2
KEI,BSB,2
BSB,MUV,2
MUV,GYN,2
BWN,GKH,4
GKH,BHP,4
BHP,GKH,3
GKH,BWN,3
DHN,KMME,2
KMME,BRR,3
BRR,ULT,3
ULT,STN,3
STN,ASN,1
ASN,RNG,2
RNG,UDL,1
UDL,OYR,1
OYR,DGR,1
DGR,PAN,1
PAN,MNAE,1
MNAE,HWH,1
MAS,SPE,3
SPE,GDR,2
GDR,NLR,9
NLR,OGL,5
OGL,TEL,1
TEL,BZA,5
BZA,EE,10
EE,RJY,6
RJY,SLO,11
SLO,VSKP,4
VSKP,VZM,10
VZM,VBL,4
VBL,PVP,3
PVP,RGDA,2
RGDA,MNGD,3
MNGD,KSNG,2
KSNG,TIG,4
TIG,BLGR,3
BLGR,BRGA,3
BRGA,SBP,3
SBP,JSG,1
JSG,ROU,6
ROU,CKP,3
CKP,PRR,1
PRR,JOC,2
JOC,ASN,3
NDLS,ALJN,1
ALJN,TDL,4
TDL,ETW,1
ETW,CNB,3
CNB,ALD,6
ALD,JNH,1
JNH,BSB,1
DOS,AUBR,2
AUBR,RFJ,1
RFJ,GAYA,1
JAT,KTHU,1
KTHU,PTKC,3
PTKC,JRC,2
JRC,LDH,2
LDH,UMB,4
UMB,KUN,2
KUN,DLI,1
DLI,DEC,1
DEC,GGN,4
GGN,GHH,1
GHH,RE,1
RE,KRH,5
KRH,AWR,5
AWR,RHG,4
RHG,BKI,2
BKI,DO,5
DO,GADJ,3
GADJ,JP,5
JP,FL,6
FL,KSG,5
KSG,AII,6
DWX,UJN,5
NAD,MEP,1
MEP,VMA,1
VMA,CMU,1
CMU,SVA,1
SVA,SGZ,1
SGZ,GOH,1
GOH,BWM,1
BWM,RMA,1
RMA,KOTA,2
KOTA,SWM,6
SWM,GGC,2
GGC,SMBJ,1
SMBJ,BXN,1
BXN,BTE,1
BTE,MTJ,2
MTJ,FDB,2
NDLS,DEE,2
SAG,JHL,1
JHL,ROK,1
NDLS,AGC,1
AGC,GWL,4
GWL,JHS,4
JHS,BINA,2
BINA,BPL,1
BPL,ET,3
KNW,MKU,1
MKU,AK,2
AK,WHM,1
WHM,HNL,1
HNL,PAU,1
MAO,KRMI,2
THVM,PERN,1
PERN,RN,1
NDLS,PNP,4
PNP,UMB,4
JUC,JRC,6
JRC,PGW,6
PGW,PHR,3
PHR,LDH,4
LDH,SIR,1
SIR,RPJ,3
RPJ,UBC,4
UBC,UMB,6
KKDE,KUN,2
KUN,PNP,3
PNP,SNP,3
SNP,SZM,3
SZM,NDLS,1
JAM,HAPA,3
HAPA,RJT,3
