Source,Target,Weight
BZU,GDYA,2
GDYA,ET,2
ET,HBD,3
HBD,BPL,1
BPL,BHS,1
BHS,BAQ,1
BAQ,BINA,1
BINA,LAR,2
LAR,JHS,3
GWL,AGC,5
AGC,MTJ,2
MTJ,NZM,8
NZM,MTJ,3
AGC,GWL,4
DBA,JHS,1
JHS,LAR,1
LAR,BINA,1
BINA,BAQ,1
BPL,HBD,1
HBD,ET,3
ET,GDYA,2
GDYA,BZU,2
AMLA,MTY,2
MTY,PAR,2
NGP,BRD,2
BRD,TMR,2
TMR,G,1
G,DGG,1
DGG,RJN,2
RJN,DURG,3
DURG,R,3
R,TLD,5
TLD,BYT,4
BYT,BSP,3
BSP,AKT,3
AKT,CPH,1
CPH,KHS,1
KHS,RIG,2
DEE,NDLS,1
MTJ,BTE,2
BTE,BXN,2
BXN,SMBJ,1
SMBJ,GGC,2
GGC,SWM,2
SWM,KOTA,4
KOTA,RMA,3
RMA,BWM,1
BWM,GOH,1
GOH,SGZ,1
SGZ,SVA,2
SVA,CMU,2
CMU,VMA,2
VMA,MEP,2
MEP,NAD,2
NAD,UJN,4
UJN,DWX,2
DWX,INDB,3
GZB,ALJN,2
ALJN,TDL,2
TDL,CNB,4
CNB,FTP,3
FTP,ALD,2
LKO,ON,4
ON,CNB,6
CNB,PNK,2
PNK,RURA,1
RURA,JJK,2
JJK,PHD,2
PHD,ETW,1
ETW,SKB,2
SKB,FZD,3
FZD,TDL,4
TDL,HRS,4
HRS,ALJN,4
ALJN,KRJ,4
KRJ,GZB,4
GZB,KRJ,1
KRJ,ALJN,1
ALJN,HRS,1
HRS,TDL,1
TDL,FZD,2
FZD,SKB,2
SKB,ETW,2
ETW,PHD,1
PHD,JJK,2
JJK,RURA,2
RURA,PNK,2
PNK,CNB,1
ANVT,GZB,2
ALJN,JJK,1
JJK,CNB,1
FTP,SRO,1
SRO,ALD,1
ALD,SRJ,1
SRJ,DBR,2
DBR,MKP,2
MKP,STA,3
STA,REWA,1
TVC,QLN,5
QLN,ALLP,1
ALLP,ERS,3
ERS,TCR,1
SRR,CLT,4
CAN,MAJN,2
UD,KAWR,3
MAO,SWV,1
SWV,RN,1
BRC,KOTA,3
PNK,NDLS,1
DEC,PM,1
PM,BWSN,1
BWSN,GGN,1
GGN,GHH,1
GHH,PTRD,1
PTRD,RE,2
RE,AWR,2
AWR,BKI,2
BKI,DO,2
DO,JP,1
JP,KMNC,1
KMNC,MKN,3
MKN,DNA,3
DNA,MTD,3
MTD,GOTN,5
GOTN,JU,4
JU,GOTN,1
GOTN,MTD,4
MTD,DNA,5
DNA,MKN,5
MKN,KMNC,3
KMNC,JP,2
JP,DO,2
DO,BKI,4
BKI,AWR,2
AWR,RE,1
RE,PTRD,4
PTRD,GHH,1
GHH,GGN,1
JU,MTD,3
MKN,JP,1
JP,AWR,2
AWR,DEC,1
DEC,DEE,5
JAT,PTKC,3
JRC,LDH,3
UMB,SRE,2
SRE,LRJ,2
LRJ,MB,3
BE,SPN,6
SPN,HRI,3
HRI,BLM,1
BLM,ON,1
BDTS,BVI,10
BVI,VAPI,5
VAPI,ST,8
BRC,GDA,5
GDA,DHD,5
DHD,MGN,3
MGN,RTM,3
RTM,NAD,4
NAD,BWM,1
BWM,KOTA,2
KOTA,SWM,8
SWM,MTJ,2
NZM,NDLS,4
NDLS,PNP,3
PNP,UMB,3
JAT,UHP,3
UHP,SVDK,2
ADI,ND,8
ND,ANND,10
ANND,BRC,10
NAD,SGZ,2
SGZ,KOTA,1
SGNR,ABS,4
ABS,MOT,3
MOT,GDB,4
GDB,BTI,3
BTI,MAUR,3
MAUR,MSZ,2
MSZ,JHL,1
JHL,NRW,1
NRW,JIND,1
JIND,ROK,1
ROK,SPZ,2
SPZ,BGZ,3
BGZ,SSB,3
SSB,DLI,1
JBN,FBG,1
FBG,ARQ,1
ARQ,PRNA,1
PRNA,KIR,2
KIR,NNA,2
NNA,KGG,2
KGG,BGS,2
BGS,PPTA,1
PPTA,DNR,2
DNR,DLN,1
DLN,MGS,1
MGS,MZP,4
MZP,ALD,1
CNB,TDL,2
ALJN,GZB,1
GZB,ANVT,1
BJU,SPJ,4
CPR,SV,3
SV,DEOS,3
DEOS,GKP,4
GKP,GD,3
GD,SCC,1
SCC,MINJ,1
MINJ,SPN,1
PTKC,JAT,1
SPN,MINJ,1
MINJ,SCC,1
SCC,GD,1
GD,GKP,2
DEOS,SV,1
SV,CPR,4
CPR,SEE,3
HJP,MFP,3
MFP,SPJ,4
SPJ,BJU,7
KYN,BSR,3
BSR,VAPI,3
ST,BRC,9
KOAA,BWN,1
DHN,KQR,1
KQR,GAYA,4
TDL,AF,1
AF,AH,1
AH,BTE,2
BTE,BKI,1
BKI,JP,2
JP,DNA,1
DNA,NGO,2
NGO,NOK,3
NOK,BKN,1
SC,BZA,2
BZA,RJY,6
RJY,VSKP,8
VSKP,VZM,13
VZM,CHE,6
CHE,PSA,6
PSA,BAM,6
BAM,BALU,3
BALU,KUR,5
KUR,BBS,16
BBS,CTC,15
CTC,JJKR,6
JJKR,BHC,6
BHC,BLS,10
BLS,KGP,8
KGP,SRC,17
SRC,HWH,11
HWH,BHP,3
BHP,RPH,3
RPH,NFK,1
NFK,MLDT,5
MLDT,BOE,1
BOE,KNE,4
KNE,NJP,7
NJP,NCB,3
NCB,NOQ,6
NOQ,NBQ,3
NBQ,RNY,1
RNY,KYQ,6
KYQ,GHY,7
AWY,AFK,5
AFK,CKI,4
CKI,IJK,6
IJK,TCR,3
TCR,WKI,4
WKI,SRR,2
SRR,OTP,1
OTP,PGT,5
SA,JTJ,8
JTJ,KPD,8
KPD,MAS,1
MAS,GDR,1
GDR,NLR,6
NLR,OGL,8
OGL,CLX,2
CLX,BZA,1
BZA,KMT,2
KMT,WL,2
WL,RDM,2
RDM,MCI,1
MCI,BPA,1
BPA,SKZR,1
SKZR,BPQ,3
BPQ,CD,4
CD,HGT,1
HGT,SEGM,1
SEGM,NGP,2
NGP,PAR,2
PAR,AMLA,1
BPL,LAR,1
ORAI,PHN,2
PHN,CNB,2
ON,LJN,2
LJN,BNZ,1
BNZ,BBK,1
BBK,GD,2
MUR,BST,1
BST,KLD,2
BTT,SV,3
PBH,ALD,1
ALD,MKP,1
ET,NGP,6
BPQ,WL,2
WL,BZA,4
BZA,RU,2
RU,KPD,4
KPD,JTJ,12
JTJ,BWT,5
BWT,YPR,1
MUV,ALD,1
MKA,BGS,1
BGS,KGG,5
KGG,MNE,5
MNE,SBV,2
SBV,SHC,2
RK,LRJ,2
SPN,LKO,2
LKO,GD,2
GD,BST,2
GKP,BST,1
BST,GD,1
GD,LKO,4
HYB,SC,2
SC,NLDA,2
NLDA,MRGA,4
MRGA,VNUP,2
VNUP,NDKD,1
NDKD,PGRL,4
PGRL,SAP,4
SAP,GNT,4
GNT,TEL,3
TEL,NDO,5
NDO,BPP,5
BPP,CLX,5
CLX,OGL,5
OGL,SKM,2
SKM,KVZ,3
KVZ,NLR,2
NLR,GDR,12
GDR,NYP,1
NYP,SPE,1
SPE,MAS,1
SBC,KGI,5
KGI,MYA,2
MYA,MYS,2
SRR,PTB,2
PTB,KTU,2
KTU,TIR,2
TIR,PGI,2
PGI,FK,2
FK,CLT,2
CLT,QLD,2
QLD,BDJ,2
BDJ,TLY,2
TLY,CAN,4
CAN,PAZ,1
PAZ,PAY,2
PAY,NLE,2
NLE,KZE,2
KZE,KGQ,3
UD,KUDA,1
KUDA,BTJL,1
BTJL,KT,1
KT,KAWR,1
THVM,KKW,1
PNVL,KYN,1
MTJ,FDB,4
FDB,NZM,4
TEN,CVP,3
CVP,SRT,6
SRT,VPT,6
VPT,MDU,5
MDU,SDN,2
SDN,DG,1
DG,TPJ,4
TPJ,VRI,3
VRI,VM,5
VM,TMV,2
TMV,MLMR,2
MLMR,CGL,2
TBM,MBM,5
MBM,MS,5
MS,TBM,6
TBM,CGL,8
CGL,VM,4
VM,VRI,4
VRI,ALU,2
ALU,TPJ,1
TPJ,DG,4
DG,SDN,1
SDN,MDU,2
VRI,TPJ,2
TPJ,MPA,2
MPA,DG,2
DG,ABI,4
ABI,KQN,4
KQN,MDU,3
AJJ,WJR,1
WJR,KPD,2
KPD,AB,3
AB,VN,3
VN,JTJ,6
JTJ,KPN,1
KPN,BWT,2
BWT,KJM,7
KJM,BNC,3
KYJ,ALLP,2
SA,KPD,2
KPD,CTO,3
CTO,TPTY,3
TPTY,RU,13
RU,GDR,5
GDR,OGL,2
OGL,BZA,10
BZA,WL,4
WL,BPQ,3
NGP,BZU,3
BZU,ET,3
AGC,RKM,6
RKM,MTJ,4
BPL,NGP,2
BPQ,KCG,1
KCG,KRNT,1
KRNT,DMM,1
DMM,YPR,1
DG,MDU,2
MDU,VPT,3
VPT,TTL,1
TTL,SVKS,1
SVKS,SVPR,1
SVPR,RJPM,1
RJPM,SNKL,1
SNKL,PBKS,1
PBKS,KDNL,1
KDNL,TSI,1
TSI,SCT,1
TPJ,SRGM,1
SRGM,ALU,1
ALU,VRI,1
VM,MLMR,1
MS,NLR,1
BZA,EE,14
EE,RJY,7
VZM,BAM,3
