Source,Target,Weight
HBD,HBJ,13
BINA,KYE,7
KYE,SGO,9
SGO,PHA,7
PHA,DMO,9
DMO,BNU,3
BNU,KTE,2
STA,JTW,6
JTW,MKP,2
MKP,DBR,6
DBR,ALD,1
JNH,BOY,9
BOY,PRF,7
PRF,SWPR,3
SWPR,BSB,4
BSB,BOY,11
BOY,JNH,7
ALD,DBR,1
DBR,MKP,6
MKP,JTW,2
JTW,STA,6
KTE,BNU,2
BNU,DMO,2
DMO,PHA,8
PHA,SGO,7
SGO,KYE,10
KYE,BINA,6
HBJ,HBD,13
LTT,KYN,21
GY,YA,2
YA,GY,2
KYN,LTT,18
KWV,UMD,2
LTRR,UDGR,9
UDGR,KMNR,4
KMNR,BHLK,2
BHLK,BIDR,9
BIDR,BHLK,10
BHLK,KMNR,2
KMNR,UDGR,4
UDGR,LTRR,10
UMD,KWV,2
URI,DD,4
KNW,CAER,2
CAER,HD,1
DUA,LAR,1
DAA,DBA,13
MTJ,FDB,20
SZM,NUR,3
TRR,KKDE,2
KKDE,UMB,23
RPJ,SIR,16
SIR,KNN,9
KNN,LDH,8
LDH,PGW,20
JRC,TDO,8
TDO,DZA,9
DZA,MEX,11
MEX,PTKC,11
PTKC,KTHU,25
KTHU,HRNR,4
HRNR,SMBX,4
SMBX,VJPJ,8
VJPJ,JAT,4
JAT,VJPJ,4
VJPJ,SMBX,8
SMBX,HRNR,5
HRNR,KTHU,4
KTHU,PTKC,25
PTKC,MEX,10
MEX,DZA,11
DZA,JRC,5
PGW,LDH,22
LDH,KNN,9
KNN,SIR,9
SIR,RPJ,16
KKDE,TRR,2
SNP,NUR,5
NUR,SZM,4
NDLS,FDB,6
FDB,MTJ,16
DBA,DAA,13
LAR,DUA,1
BPF,HD,2
HD,CAER,1
CAER,KNW,2
DD,URI,4
KNW,HD,18
ET,HBJ,19
BHS,JHS,4
JHS,ORAI,26
ORAI,CNB,20
CNB,LKO,27
BBK,JLD,3
JLD,CLJ,7
CLJ,GD,8
GD,BLP,7
BLP,JKNI,8
JKNI,TLR,4
TLR,BNY,5
BNY,NUH,2
NUH,ANDN,6
ANDN,GKP,9
GKP,ANDN,8
ANDN,NUH,5
NUH,BNY,1
BNY,TLR,5
TLR,JKNI,5
JKNI,BLP,9
BLP,GD,7
GD,CLJ,8
CLJ,JLD,7
JLD,LKO,1
LKO,CNB,25
CNB,ORAI,20
ORAI,JHS,25
JHS,BHS,4
HBJ,ET,19
HD,KNW,18
KNW,PPI,2
MKP,ACOI,8
ACOI,MZP,11
MZP,BSB,5
BSB,ARJ,5
ARJ,MAU,2
MAU,BTT,2
BTT,DEOS,24
MAU,ARJ,2
ARJ,BSB,5
BSB,MZP,4
MZP,ACOI,10
ACOI,MKP,8
PPI,KNW,2
MMR,NSL,11
NSL,LSR,1
LSR,AWB,10
NED,MUE,24
MUE,BOKR,4
BOKR,HEM,3
HEM,KNVT,2
ADB,PMKT,3
PMKT,WANI,2
WANI,MJKN,1
MJKN,CD,1
CD,BPQ,39
BPQ,SKZR,41
SKZR,BPA,19
BPA,MCI,18
MCI,RDM,21
RDM,PDPL,11
PDPL,JMKT,7
JMKT,KZJ,4
KZJ,JMKT,4
JMKT,PDPL,6
PDPL,RDM,11
RDM,MCI,21
MCI,BPA,17
BPA,SKZR,18
SKZR,BPQ,41
BPQ,CD,39
CD,MJKN,1
MJKN,WANI,1
WANI,PMKT,2
PMKT,ADB,3
KNVT,HEM,2
HEM,BOKR,4
BOKR,MUE,5
MUE,NED,24
AWB,LSR,10
LSR,NSL,1
NSL,MMR,12
PNVL,KHED,3
KKW,SWV,2
SWV,KKW,2
